name,N,board_1,board_2,solution,score,tier,is_solved
puzzle_53606,8,AABBCCCCABBBDDCCAAABDCCDAAABDDDDEEEEFFFFGGGEFHFHGGGEHHHHGGGGHHHH,AABBCCCCAAABCDCCAAABDDCCAABBDCCCEEEEFGGGEEEHFFFGEEEHFFFGHHHHFGGG,..x.....x............x.........x....x....x.........x..........x.,4048,quadrants,False
puzzle_73116,8,ABBBCDDDAABBCCDDABBBCCDDAAAACDDDEEFFGGHHEFFFGHHHEEEFGHHHEEEFGGGH,AABBCDDDABBBCDCDABBBCCCDBBBBCCDDEEEEFFGGHEEEFFFGHEEEFFFGHHHHGGGG,.x.............x.....x.....x..........x...x.........x...x.......,2533,quadrants,False
puzzle_51703,8,ABBBCCCCABBBCCCCABABCDCDAAAADDDDEEEEFFFGEEHEFFFGEHHEFFFGEHEEGGGG,ABBBCCCDABBBCCCDAABBCCDDAAABCCDDEEFFGGGGEEEFHHHGEFEFHHHGEFFFHHHG,.x..........x...x.............x....x.........x....x............x,1898,quadrants,False
puzzle__30763_rot90,8,AAAABBBBCCAADDBBECCAFDDBEECCFFDDEECCFFDDGEEGHFFHGEEGHFFHGGGGHHHH,AAABBCCCAABBBDDCABBDDDDCABDDDCCCEEEFFGGGEEFFFHHGEFFHHHHGEFHHHGGG,x.............x...x............x....x....x.........x.........x..,1350,symmetric twin,False
puzzle_63583_rot90,8,AAABBBBCADDBBBCCADDDDCCCAAADDDCCEEEFFFFGEHHFFFGGEHHHHGGGEEEHHHGG,AAAABBBBCAAADBBBCCAEDDBFCCEEDDFFCCEEDDFFGEEGHFFHGEEGHFFHGGGGHHHH,..x..........x.........x....x...x..........x.....x............x.,630,symmetric twin,False
puzzle_32341_rot90,8,AAABBBCCADABBCCCADDDDDCCEDDDDFFCEDDFFFFCEEFFFFFGEEEHHGFGEEHHHGGG,AAAAABBBAAACCCCBDAECCCBBDDEECCFFDDEECCFFGGEEECHFGEEEEHHHGGGHHHHH,..x.........x..........x.x............x.x..........x.........x..,223,symmetric twin,False
puzzle_2224,8,AAAABBBBACAABDBBACCEBDDFACEEBDFFCCEGDDFHCEEGDFFHGGEGHHFHGGGGHHHH,AABBCCDDAABBCCDDEABFGCDHEABFGCDHEABFGCDHEABFGCDHEABFGCDHEEFFGGHH,......x..x.............xx...........x.....x..........x.....x....,5376,symmetric (t180 x tmirror),False
puzzle_199,8,AAAABBBBCDAAEFBBCDDAEFFBCCDAEEFBGCDDHEFFGCCDHEEFGGCDHHEFGGGGHHHH,AABBCCDDAABBCCDDAABBCCDDEABFGCDHEABFGCDHEABFGCDHEABFGCDHEABFGCDH,.....x....x...........x.....x....x.........x....x..............x,2480,symmetric (t180 x tmirror), False
puzzle_4215,8,AAABCDDDABBBCCCDABBBCCCDAAAADDDDEEEFGHHHEFFFGGGHEFFFGGGHEEEEHHHH,AABBBBBCAAAACCCCAAAACCCCADDDDDCCEEFFFFFGEEEEGGGGEEEEGGGGEHHHHHGG,....x.....x............x.x.........x..........x.x............x..,200,symmetric (t180 x tmirror),False
puzzle_1458,8,AAABCCCCABBBBCCCABBBBDDDAAABDDDDEEEFGGGGEFFFFGGGEFFFFHHHEEEFHHHH,AAABCCCDABBBCDDDAAABCCCDABBBCDDDEEEFGGGHEFFFGHHHEEEFGGGHEFFFGHHH,....x.....x.....x.............x..x.............x.....x.....x....,735,symmetric (t180 x tmirror),False
puzzle_2792,8,ABBBCDDDAABBCCDDAABBCCDDEAFBGCHDEAFBGCHDEEFFGGHHEEFFGGHHEEEFGGGH,AAAABBBBACAABDBBECCCFDDDEECCFFDDEECCFFDDEEEEFFFFGGGGHHHHGGGGHHHH,..x.........x....x.............xx.............x....x.........x..,1738,symmetric (translate x t180),False
puzzle_2985,8,AAAABBBBAACABBDBCCCCDDDDCCEEDDFFGCEEHDFFGEEEHFFFGGGGHHHHGGGGHHHH,AAABCCCDAABBCCDDAABBCCDDAEBFCGDHAEBFCGDHEEFFGGHHEEFFGGHHEFFFGHHH,.....x.....x..........x.x..............x.x..........x.....x.....,1636,symmetric (translate x t180),False
puzzle_9243,8,AAAAABBBAAABBBBBCCCDDDDDCCCCCDDDEEEEEFFFEEEFFFFFGGGHHHHHGGGGGHHH,AAABCCCCAABBBBDCAABBBDDDADDDDDDDEEEFGGGGEEFFFFHGEEFFFHHHEHHHHHHH,...x...........x.....x..x.............x..x..........x.....x.....,4100,symmetric (translate x tmirror),False
puzzle_2981,8,AAAABBBBCCAADDBBCEEADFFBCEEEDFFFCEEEDFFFEEEEFFFFGGGEHHHFGGGEHHHF,AABBCCDDEABFGCDHEABFGCDHEABFGCDHEABFGCDHEABFGCDHEEFFGGHHEEFFGGHH,...x.........x.........xx.............x..x..........x.....x.....,1798,symmetric (translate x tmirror),False
puzzle_688,8,ABBBCDDDABBBCDDDAABBCCDDAAABCCCDEEEFGGGHEEFFGGHHEFFFGHHHEFFFGHHH,AAABCCCDAABBCCDDABBBCDDDEBBBFDDDEBBBFDDDEEEEFFFFGGGEHHHFGGGGHHHH,..x..........x...x..........x.........x....x....x..............x,1020,symmetric (translate x tmirror),False
puzzle_6764,8,AAAABBBBCAADEBBFCCADEEBFCCDDEEFFCCDDEEFFGCDDHEFFGGGGHHHHGGGGHHHH,AABBCCDDAABBCCDDAABBCCDDAEEBCFFDAEEBCFFDEEEEFFFFGEEGHFFHGGGGHHHH,...x..........x..x..........x.....x............xx............x..,2810,symmetric (translate x tmirror),False
puzzle_2034,8,AABBBBCCAADDBCCCAAADBBCCAADDDDCCEEFFFFGGEEHHFGGGEEEHFFGGEEHHHHGG,AAABBBBBCCACBBBBCCCCBDBBCCCCCDDDEEEFFFFFGGEGFFFFGGGGFHFFGGGGGHHH,....x.....x.....x.............x..x.............x.....x.....x....,1013,symmetric (t180 x t180),False
puzzle_2330,8,AAABCCCDAAABCCCDAABBCCDDAAAACCCCEEEEFFFFGGEEHHFFGEEEHFFFGEEEHFFF,AAAABBBBAAAABBBBCACDEBEFCCCDEEEFCDDDEFFFCDGDEFHFGGGGHHHHGGGGHHHH,.....x.....x..........x.x..............x.x..........x.....x.....,1013,symmetric (t180 x t180),False
puzzle_2405,8,AAABCCCDAAABCCCDAABBCCDDAAAECCCFAEEECFFFGGEEHHFFGEEEHFFFGEEEHFFF,ABBBCDDDABBBCDDDABAECDCFAAAECCCFAEEECFFFAEGECFHFGGGEHHHFGGGEHHHF,.....x.....x..........x.x..............x.x..........x.....x.....,243,symmetric (t180 x t180),False
puzzle_98164,8,AAAABBBBACAABDBBECAAFDBBECAAFDBBECCAFDDBEEGGFFHHEEGGFFHHEEGGFFHH,AAAABBBBAAACBBBDAACCBBDDCCCEDDDFCCEEDDFFCCEEDDFFGGGEHHHFGGGGHHHH,.....x.....x.....x..........x.........x...x.....x..............x,5398,symmetric (translate x translate),False
puzzle_91777,8,AAAABBBBCADDBDBBCADDDDDBCCCCCCDDEEEEFFFFGEHHFHFFGEHHHHHFGGGGGGHH,AAAAAAABCCCCCABBDDCCBBBBDDDBBBBBEEEEEEEFGGGGGEFFHHGGFFFFHHHFFFFF,......x....x.....x...........x....x.........x...x..............x,5350,symmetric (translate x translate),False
puzzle_94066,8,ABBCCDDDAABBCCCDAAABBCCDAAABBCCDEFFGGHHHEEFFGGGHEEEFFGGHEEEFFGGH,ABBBBBCCAAADBCCCAAADDCCCAAADDDCCEFFFFFGGEEEHFGGGEEEHHGGGEEEHHHGG,......x.....x...x..........x.....x.............x..x..........x..,4620,symmetric (translate x translate),False
puzzle_86978,8,AAAAAABBAACCDBBBACCDDDBBAADDDDDDEEEEEEFFEEGGHFFFEGGHHHFFEEHHHHHH,AABBBBBBAAAAAAABACCCCDDDCCCCCDDDEEFFFFFFEEEEEEEFEGGGGHHHGGGGGHHH,....x.....x...........x....x....x..............x.x...........x..,4068,symmetric (translate x translate),False
